Cluster 8:
	,Sw-062
Cluster 39:
	,Sw-041
	,Sw-042
Cluster 36:
	,Sw-054
	,Sw-053
Cluster 25:
	,Sw-040
Cluster 11:
	,Sw-063
Cluster 19:
	,Sw-057
Cluster 22:
	,Sw-056
Cluster 42:
	,Sw-047
	,Sw-049
	,Sw-055
Cluster 24:
	,Sw-051
Cluster 43:
	,Sw-059
	,Sw-045
	,Sw-046
	,Sw-060
Cluster 10:
	,Sw-064
Cluster 41:
	,Sw-048
	,Sw-050
Cluster 9:
	,Sw-061
Cluster 44:
	,Sw-034
	,Sw-033
Cluster 45:
	,Sw-058
	,Sw-038
Cluster 27:
	,Sw-043
Cluster 3:
	,Sw-036
Cluster 34:
	,Sw-052
Cluster 38:
	,Sw-066
	,Sw-065
Cluster 46:
	,Sw-039
	,Sw-044
Cluster 2:
	,Sw-035
Cluster 4:
	,Sw-037
